DEPARTAMENTO,PROVINCIA,DISTRITO,n_cortes,n_imprevistas,duracion_media_h,duracion_mediana_h,conexiones_afectadas_total,unidades_uso_total,poblacion,pct_imprevistas,cortes_por_10k_hab,cluster,cluster_dbscan
AMAZONAS,BAGUA,BAGUA,82,16,9.6,9.0,187426.0,187724.0,26091.0,19.5,31.43,3,-1
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,91,70,8.99,8.67,121499.0,69226.0,29171.0,76.9,31.2,0,0
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,96,66,30.98,24.0,23637.0,8572.0,54033.0,68.8,17.77,1,-1
ANCASH,HUARAZ,HUARAZ,60,37,5.03,3.25,93533.0,602.0,65663.0,61.7,9.14,2,0
ANCASH,HUARAZ,INDEPENDENCIA,56,42,4.96,4.0,67237.0,5991.0,75559.0,75.0,7.41,2,0
ANCASH,SANTA,CHIMBOTE,58,33,22.14,16.0,88122.0,89322.0,216037.0,56.9,2.68,1,-1
ANCASH,SANTA,NUEVO CHIMBOTE,44,28,71.66,45.96,249579.0,180159.0,157211.0,63.6,2.8,1,-1
APURIMAC,ABANCAY,ABANCAY,370,285,4.94,3.42,689922.0,452790.0,56871.0,77.0,65.06,0,0
APURIMAC,ABANCAY,TAMBURCO,37,26,5.99,4.08,11602.0,6970.0,9894.0,70.3,37.4,0,0
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,47,8,36.26,7.0,98493.0,112435.0,46760.0,17.0,10.05,3,0
AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,429,374,4.78,3.0,19500304.0,282655.0,85223.0,87.2,50.34,0,0
AREQUIPA,AREQUIPA,AREQUIPA,349,312,5.46,3.33,15489720.0,816377.0,52425.0,89.4,66.57,0,0
AREQUIPA,AREQUIPA,CAYMA,437,397,5.21,3.0,34923690.0,2178625.0,96878.0,90.8,45.11,0,0
AREQUIPA,AREQUIPA,CERRO COLORADO,731,660,4.52,3.0,70898946.0,1432038.0,158836.0,90.3,46.02,0,0
AREQUIPA,AREQUIPA,JACOBO HUNTER,199,183,4.56,3.0,5490634.0,140756.0,48985.0,92.0,40.62,0,0
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,259,225,5.36,3.0,28512497.0,260385.0,76905.0,86.9,33.68,0,0
