semana,distrito,n_cortes
2019-06-10,ATE,0
2019-06-17,ATE,0
2019-06-24,ATE,0
2019-07-01,ATE,0
2019-07-08,ATE,0
2019-07-15,ATE,0
2019-07-22,ATE,0
2019-07-29,ATE,0
2019-08-05,ATE,0
2019-08-12,ATE,0
2019-08-19,ATE,0
2019-08-26,ATE,0
2019-09-02,ATE,0
2019-09-09,ATE,0
2019-09-16,ATE,0
2019-09-23,ATE,0
2019-09-30,ATE,0
2019-10-07,ATE,0
2019-10-14,ATE,0
2019-10-21,ATE,0
2019-10-28,ATE,0
2019-11-04,ATE,0
2019-11-11,ATE,0
2019-11-18,ATE,0
2019-11-25,ATE,0
2019-12-02,ATE,0
2019-12-09,ATE,0
2019-12-16,ATE,0
2019-12-23,ATE,0
2019-12-30,ATE,0
2020-01-06,ATE,0
2020-01-13,ATE,0
2020-01-20,ATE,0
2020-01-27,ATE,0
2020-02-03,ATE,3
2020-02-10,ATE,5
2020-02-17,ATE,11
2020-02-24,ATE,9
2020-03-02,ATE,4
2020-03-09,ATE,6
2020-03-16,ATE,5
2020-03-23,ATE,2
2020-03-30,ATE,10
2020-04-06,ATE,9
2020-04-13,ATE,9
2020-04-20,ATE,8
2020-04-27,ATE,4
2020-05-04,ATE,4
2020-05-11,ATE,3
2020-05-18,ATE,4
2020-05-25,ATE,6
2020-06-01,ATE,8
2020-06-08,ATE,5
2020-06-15,ATE,4
2020-06-22,ATE,7
2020-06-29,ATE,3
2020-07-06,ATE,4
2020-07-13,ATE,4
2020-07-20,ATE,2
2020-07-27,ATE,2
2020-08-03,ATE,2
2020-08-10,ATE,5
2020-08-17,ATE,2
2020-08-24,ATE,3
2020-08-31,ATE,0
2020-09-07,ATE,0
2020-09-14,ATE,2
2020-09-21,ATE,1
2020-09-28,ATE,4
2020-10-05,ATE,1
2020-10-12,ATE,1
2020-10-19,ATE,1
2020-10-26,ATE,2
2020-11-02,ATE,3
2020-11-09,ATE,2
2020-11-16,ATE,1
2020-11-23,ATE,3
2020-11-30,ATE,1
2020-12-07,ATE,1
2020-12-14,ATE,1
2020-12-21,ATE,6
2020-12-28,ATE,1
2021-01-04,ATE,0
2021-01-11,ATE,0
2021-01-18,ATE,2
2021-01-25,ATE,0
2021-02-01,ATE,0
2021-02-08,ATE,0
2021-02-15,ATE,5
2021-02-22,ATE,4
2021-03-01,ATE,0
2021-03-08,ATE,2
2021-03-15,ATE,0
2021-03-22,ATE,4
2021-03-29,ATE,3
2021-04-05,ATE,1
2021-04-12,ATE,1
2021-04-19,ATE,2
2021-04-26,ATE,2
2021-05-03,ATE,1
2021-05-10,ATE,2
2021-05-17,ATE,0
2021-05-24,ATE,2
2021-05-31,ATE,1
2021-06-07,ATE,0
2021-06-14,ATE,0
2021-06-21,ATE,1
2021-06-28,ATE,1
2021-07-05,ATE,2
2021-07-12,ATE,3
2021-07-19,ATE,2
2021-07-26,ATE,1
2021-08-02,ATE,0
2021-08-09,ATE,1
2021-08-16,ATE,0
2021-08-23,ATE,1
2021-08-30,ATE,8
2021-09-06,ATE,6
2021-09-13,ATE,5
2021-09-20,ATE,1
2021-09-27,ATE,0
2021-10-04,ATE,2
2021-10-11,ATE,1
2021-10-18,ATE,6
2021-10-25,ATE,3
2021-11-01,ATE,3
2021-11-08,ATE,0
2021-11-15,ATE,1
2021-11-22,ATE,2
2021-11-29,ATE,1
2021-12-06,ATE,1
2021-12-13,ATE,1
2021-12-20,ATE,1
2021-12-27,ATE,1
2022-01-03,ATE,1
2022-01-10,ATE,0
2022-01-17,ATE,0
2022-01-24,ATE,0
2022-01-31,ATE,1
2022-02-07,ATE,0
2022-02-14,ATE,0
2022-02-21,ATE,0
2022-02-28,ATE,0
2022-03-07,ATE,0
2022-03-14,ATE,0
2022-03-21,ATE,0
2022-03-28,ATE,0
2022-04-04,ATE,1
2022-04-11,ATE,9
